co2_ppmv,gpp_percent,d17o_o2_permil
294,77.409844,-0.446129
294,77.848488,-0.445242
294,78.287132,-0.444366
294,78.725776,-0.443501
294,79.164420,-0.442646
294,79.603063,-0.441802
294,80.041707,-0.440968
294,80.480351,-0.440144
294,80.918995,-0.439330
294,81.357639,-0.438525
294,81.796282,-0.437730
294,82.234926,-0.436944
294,82.673570,-0.436167
294,83.112214,-0.435399
294,83.550858,-0.434640
294,83.989501,-0.433889
294,84.428145,-0.433146
294,84.866789,-0.432412
294,85.305433,-0.431685
294,85.744077,-0.430967
294,86.182720,-0.430255
294,86.621364,-0.429552
294,87.060008,-0.428855
294,87.498652,-0.428166
294,87.937296,-0.427484
294,88.375939,-0.426809
294,88.814583,-0.426140
294,89.253227,-0.425478
294,89.691871,-0.424822
294,90.130515,-0.424173
294,90.569158,-0.423529
294,91.007802,-0.422892
294,91.446446,-0.422260
294,91.885090,-0.421634
294,92.323734,-0.421013
294,92.762377,-0.420398
294,93.201021,-0.419788
294,93.639665,-0.419184
294,94.078309,-0.418584
294,94.516953,-0.417989
294,94.955596,-0.417399
294,95.394240,-0.416814
294,95.832884,-0.416233
294,96.271528,-0.415657
294,96.710172,-0.415085
294,97.148815,-0.414517
294,97.587459,-0.413953
294,98.026103,-0.413393
294,98.464747,-0.412837
294,98.903391,-0.412285
294,99.342034,-0.411737
294,99.780678,-0.411192
294,100.219322,-0.410651
294,100.657966,-0.410113
294,101.096609,-0.409578
294,101.535253,-0.409047
294,101.973897,-0.408519
294,102.412541,-0.407994
294,102.851185,-0.407471
294,103.289828,-0.406952
294,103.728472,-0.406436
294,104.167116,-0.405922
294,104.605760,-0.405411
294,105.044404,-0.404903
294,105.483047,-0.404397
294,105.921691,-0.403894
294,106.360335,-0.403393
294,106.798979,-0.402895
294,107.237623,-0.402398
294,107.676266,-0.401905
294,108.114910,-0.401413
294,108.553554,-0.400923
294,108.992198,-0.400436
294,109.430842,-0.399951
294,109.869485,-0.399467
294,110.308129,-0.398986
294,110.746773,-0.398507
294,111.185417,-0.398029
294,111.624061,-0.397554
294,112.062704,-0.397080
294,112.501348,-0.396608
294,112.939992,-0.396138
294,113.378636,-0.395669
294,113.817280,-0.395203
294,114.255923,-0.394738
294,114.694567,-0.394275
294,115.133211,-0.393813
294,115.571855,-0.393353
294,116.010499,-0.392895
294,116.449142,-0.392439
294,116.887786,-0.391984
294,117.326430,-0.391530
294,117.765074,-0.391079
294,118.203718,-0.390629
294,118.642361,-0.390181
294,119.081005,-0.389734
294,119.519649,-0.389289
294,119.958293,-0.388846
294,120.396937,-0.388404
294,120.835580,-0.387964
294,121.274224,-0.387526
294,121.712868,-0.387089
294,122.151512,-0.386655
294,122.590156,-0.386222
294,123.028799,-0.385791
294,123.467443,-0.385361
294,123.906087,-0.384934
294,124.344731,-0.384508
294,124.783375,-0.384085
294,125.222018,-0.383663
294,125.660662,-0.383243
294,126.099306,-0.382826
294,126.537950,-0.382410
294,126.976594,-0.381997
294,127.415237,-0.381585
294,127.853881,-0.381176
294,128.292525,-0.380770
294,128.731169,-0.380365
294,129.169813,-0.379964
294,129.608456,-0.379564
294,130.047100,-0.379167
294,130.485744,-0.378773
294,130.924388,-0.378381
294,131.363032,-0.377992
294,131.801675,-0.377606
294,132.240319,-0.377223
294,132.678963,-0.376843
294,133.117607,-0.376465
294,133.556251,-0.376091
294,133.994894,-0.375720
294,134.433538,-0.375353
294,134.872182,-0.374988
294,135.310826,-0.374627
294,135.749470,-0.374270
294,136.188113,-0.373917
294,136.626757,-0.373567
294,137.065401,-0.373221
294,137.504045,-0.372878
294,137.942689,-0.372540
294,138.381332,-0.372207
294,138.819976,-0.371877
294,139.258620,-0.371552
294,139.697264,-0.371231
294,140.135908,-0.370915
294,140.574551,-0.370603
294,141.013195,-0.370297
294,141.451839,-0.369995
294,141.890483,-0.369698
294,142.329127,-0.369407
294,142.767770,-0.369121
294,143.206414,-0.368841
294,143.645058,-0.368566
294,144.083702,-0.368297
294,144.522346,-0.368033
294,144.960989,-0.367776
294,145.399633,-0.367525
294,145.838277,-0.367280
294,146.276921,-0.367042
294,146.715565,-0.366810
294,147.154208,-0.366585
294,147.592852,-0.366367
294,148.031496,-0.366156
394,51.968504,-0.607769
394,52.407148,-0.605166
394,52.845792,-0.602600
394,53.284435,-0.600069
394,53.723079,-0.597572
394,54.161723,-0.595110
394,54.600367,-0.592682
394,55.039011,-0.590287
394,55.477654,-0.587925
394,55.916298,-0.585596
394,56.354942,-0.583299
394,56.793586,-0.581034
394,57.232230,-0.578800
394,57.670873,-0.576597
394,58.109517,-0.574425
394,58.548161,-0.572282
394,58.986805,-0.570170
394,59.425449,-0.568086
394,59.864092,-0.566031
394,60.302736,-0.564005
394,60.741380,-0.562007
394,61.180024,-0.560037
394,61.618668,-0.558093
394,62.057311,-0.556177
394,62.495955,-0.554287
394,62.934599,-0.552424
394,63.373243,-0.550586
394,63.811887,-0.548773
394,64.250530,-0.546985
394,64.689174,-0.545222
394,65.127818,-0.543483
394,65.566462,-0.541768
394,66.005106,-0.540077
394,66.443749,-0.538408
394,66.882393,-0.536763
394,67.321037,-0.535140
394,67.759681,-0.533538
394,68.198325,-0.531959
394,68.636968,-0.530401
394,69.075612,-0.528864
394,69.514256,-0.527348
394,69.952900,-0.525852
394,70.391544,-0.524377
394,70.830187,-0.522921
394,71.268831,-0.521484
394,71.707475,-0.520067
394,72.146119,-0.518668
394,72.584763,-0.517288
394,73.023406,-0.515925
394,73.462050,-0.514581
394,73.900694,-0.513254
394,74.339338,-0.511945
394,74.777982,-0.510652
394,75.216625,-0.509376
394,75.655269,-0.508116
394,76.093913,-0.506872
394,76.532557,-0.505644
394,76.971201,-0.504431
394,77.409844,-0.503234
394,77.848488,-0.502051
394,78.287132,-0.500883
394,78.725776,-0.499730
394,79.164420,-0.498590
394,79.603063,-0.497464
394,80.041707,-0.496352
394,80.480351,-0.495253
394,80.918995,-0.494167
394,81.357639,-0.493094
394,81.796282,-0.492033
394,82.234926,-0.490984
394,82.673570,-0.489948
394,83.112214,-0.488923
394,83.550858,-0.487910
394,83.989501,-0.486908
394,84.428145,-0.485917
394,84.866789,-0.484937
394,85.305433,-0.483968
394,85.744077,-0.483009
394,86.182720,-0.482060
394,86.621364,-0.481121
394,87.060008,-0.480192
394,87.498652,-0.479272
394,87.937296,-0.478361
394,88.375939,-0.477460
394,88.814583,-0.476568
394,89.253227,-0.475684
394,89.691871,-0.474808
394,90.130515,-0.473941
394,90.569158,-0.473082
394,91.007802,-0.472231
394,91.446446,-0.471388
394,91.885090,-0.470552
394,92.323734,-0.469724
394,92.762377,-0.468903
394,93.201021,-0.468089
394,93.639665,-0.467281
394,94.078309,-0.466480
394,94.516953,-0.465686
394,94.955596,-0.464899
394,95.394240,-0.464117
394,95.832884,-0.463341
